# Format: Une ligne = une phrase OU une paire Q|R
# Exemples:
# Bonjour comment vas-tu|Je vais tres bien merci!
# La vie est belle et pleine de surprises.

# === SALUTATIONS ===
merci 10|Avec plaisir!
de rien 10|Pas de souci!
ca va 10|Oui ca va bien, merci!
tu es la 10|Oui, je suis la pour toi.
hello 10|Hello! Ravi de discuter avec toi.
yo 10|Yo! Comment ca se passe?
rebonjour 10|Rebonjour! Content de te revoir.
bonsoir 11|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 11|Bonne nuit! Repose-toi bien.
a bientot 11|A bientot! Reviens quand tu veux.
merci 11|Avec plaisir!
de rien 11|Pas de souci!
ca va 11|Oui ca va bien, merci!
tu es la 11|Oui, je suis la pour toi.
hello 11|Hello! Ravi de discuter avec toi.
yo 11|Yo! Comment ca se passe?
rebonjour 11|Rebonjour! Content de te revoir.
bonsoir 12|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 12|Bonne nuit! Repose-toi bien.
a bientot 12|A bientot! Reviens quand tu veux.
merci 12|Avec plaisir!
de rien 12|Pas de souci!
ca va 12|Oui ca va bien, merci!
tu es la 12|Oui, je suis la pour toi.
hello 12|Hello! Ravi de discuter avec toi.
yo 12|Yo! Comment ca se passe?
rebonjour 12|Rebonjour! Content de te revoir.
bonsoir 13|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 13|Bonne nuit! Repose-toi bien.
a bientot 13|A bientot! Reviens quand tu veux.
merci 13|Avec plaisir!
de rien 13|Pas de souci!
ca va 13|Oui ca va bien, merci!
tu es la 13|Oui, je suis la pour toi.
hello 13|Hello! Ravi de discuter avec toi.
yo 13|Yo! Comment ca se passe?
rebonjour 13|Rebonjour! Content de te revoir.
bonsoir 14|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 14|Bonne nuit! Repose-toi bien.
a bientot 14|A bientot! Reviens quand tu veux.
merci 14|Avec plaisir!
de rien 14|Pas de souci!
ca va 14|Oui ca va bien, merci!
tu es la 14|Oui, je suis la pour toi.
hello 14|Hello! Ravi de discuter avec toi.
yo 14|Yo! Comment ca se passe?
rebonjour 14|Rebonjour! Content de te revoir.
bonsoir 15|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 15|Bonne nuit! Repose-toi bien.
a bientot 15|A bientot! Reviens quand tu veux.
merci 15|Avec plaisir!
de rien 15|Pas de souci!
ca va 15|Oui ca va bien, merci!
tu es la 15|Oui, je suis la pour toi.
hello 15|Hello! Ravi de discuter avec toi.
yo 15|Yo! Comment ca se passe?
rebonjour 15|Rebonjour! Content de te revoir.
bonsoir 16|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 16|Bonne nuit! Repose-toi bien.
a bientot 16|A bientot! Reviens quand tu veux.
merci 16|Avec plaisir!
de rien 16|Pas de souci!
ca va 16|Oui ca va bien, merci!
tu es la 16|Oui, je suis la pour toi.
hello 16|Hello! Ravi de discuter avec toi.
yo 16|Yo! Comment ca se passe?
rebonjour 16|Rebonjour! Content de te revoir.
bonsoir 17|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 17|Bonne nuit! Repose-toi bien.
a bientot 17|A bientot! Reviens quand tu veux.
merci 17|Avec plaisir!
de rien 17|Pas de souci!
ca va 17|Oui ca va bien, merci!
tu es la 17|Oui, je suis la pour toi.
hello 17|Hello! Ravi de discuter avec toi.
yo 17|Yo! Comment ca se passe?
rebonjour 17|Rebonjour! Content de te revoir.
bonsoir 18|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 18|Bonne nuit! Repose-toi bien.
a bientot 18|A bientot! Reviens quand tu veux.
merci 18|Avec plaisir!
de rien 18|Pas de souci!
ca va 18|Oui ca va bien, merci!
tu es la 18|Oui, je suis la pour toi.
hello 18|Hello! Ravi de discuter avec toi.
yo 18|Yo! Comment ca se passe?
rebonjour 18|Rebonjour! Content de te revoir.
bonsoir 19|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 19|Bonne nuit! Repose-toi bien.
a bientot 19|A bientot! Reviens quand tu veux.
merci 19|Avec plaisir!
de rien 19|Pas de souci!
ca va 19|Oui ca va bien, merci!
tu es la 19|Oui, je suis la pour toi.
hello 19|Hello! Ravi de discuter avec toi.
yo 19|Yo! Comment ca se passe?
rebonjour 19|Rebonjour! Content de te revoir.
bonsoir 20|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 20|Bonne nuit! Repose-toi bien.
a bientot 20|A bientot! Reviens quand tu veux.
merci 20|Avec plaisir!
de rien 20|Pas de souci!
ca va 20|Oui ca va bien, merci!
tu es la 20|Oui, je suis la pour toi.
hello 20|Hello! Ravi de discuter avec toi.
yo 20|Yo! Comment ca se passe?
rebonjour 20|Rebonjour! Content de te revoir.
bonsoir 21|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 21|Bonne nuit! Repose-toi bien.
a bientot 21|A bientot! Reviens quand tu veux.
merci 21|Avec plaisir!
de rien 21|Pas de souci!
ca va 21|Oui ca va bien, merci!
tu es la 21|Oui, je suis la pour toi.
hello 21|Hello! Ravi de discuter avec toi.
yo 21|Yo! Comment ca se passe?
rebonjour 21|Rebonjour! Content de te revoir.
bonsoir 22|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 22|Bonne nuit! Repose-toi bien.
a bientot 22|A bientot! Reviens quand tu veux.
merci 22|Avec plaisir!
de rien 22|Pas de souci!
ca va 22|Oui ca va bien, merci!
tu es la 22|Oui, je suis la pour toi.
hello 22|Hello! Ravi de discuter avec toi.
yo 22|Yo! Comment ca se passe?
rebonjour 22|Rebonjour! Content de te revoir.
bonsoir 23|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 23|Bonne nuit! Repose-toi bien.
a bientot 23|A bientot! Reviens quand tu veux.
merci 23|Avec plaisir!
de rien 23|Pas de souci!
ca va 23|Oui ca va bien, merci!
tu es la 23|Oui, je suis la pour toi.
hello 23|Hello! Ravi de discuter avec toi.
yo 23|Yo! Comment ca se passe?
rebonjour 23|Rebonjour! Content de te revoir.
bonsoir 24|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 24|Bonne nuit! Repose-toi bien.
a bientot 24|A bientot! Reviens quand tu veux.
merci 24|Avec plaisir!
de rien 24|Pas de souci!
ca va 24|Oui ca va bien, merci!
tu es la 24|Oui, je suis la pour toi.
hello 24|Hello! Ravi de discuter avec toi.
yo 24|Yo! Comment ca se passe?
rebonjour 24|Rebonjour! Content de te revoir.
bonsoir 25|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 25|Bonne nuit! Repose-toi bien.
a bientot 25|A bientot! Reviens quand tu veux.
merci 25|Avec plaisir!
de rien 25|Pas de souci!
ca va 25|Oui ca va bien, merci!
tu es la 25|Oui, je suis la pour toi.
hello 25|Hello! Ravi de discuter avec toi.
yo 25|Yo! Comment ca se passe?
rebonjour 25|Rebonjour! Content de te revoir.
bonsoir 26|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 26|Bonne nuit! Repose-toi bien.
a bientot 26|A bientot! Reviens quand tu veux.
merci 26|Avec plaisir!
de rien 26|Pas de souci!
ca va 26|Oui ca va bien, merci!
tu es la 26|Oui, je suis la pour toi.
hello 26|Hello! Ravi de discuter avec toi.
yo 26|Yo! Comment ca se passe?
rebonjour 26|Rebonjour! Content de te revoir.
bonsoir 27|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 27|Bonne nuit! Repose-toi bien.
a bientot 27|A bientot! Reviens quand tu veux.
merci 27|Avec plaisir!
de rien 27|Pas de souci!
ca va 27|Oui ca va bien, merci!
tu es la 27|Oui, je suis la pour toi.
hello 27|Hello! Ravi de discuter avec toi.
yo 27|Yo! Comment ca se passe?
rebonjour 27|Rebonjour! Content de te revoir.
bonsoir 28|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 28|Bonne nuit! Repose-toi bien.
a bientot 28|A bientot! Reviens quand tu veux.
merci 28|Avec plaisir!
de rien 28|Pas de souci!
ca va 28|Oui ca va bien, merci!
tu es la 28|Oui, je suis la pour toi.
hello 28|Hello! Ravi de discuter avec toi.
yo 28|Yo! Comment ca se passe?
rebonjour 28|Rebonjour! Content de te revoir.
bonsoir 29|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 29|Bonne nuit! Repose-toi bien.
a bientot 29|A bientot! Reviens quand tu veux.
merci 29|Avec plaisir!
de rien 29|Pas de souci!
ca va 29|Oui ca va bien, merci!
tu es la 29|Oui, je suis la pour toi.
hello 29|Hello! Ravi de discuter avec toi.
yo 29|Yo! Comment ca se passe?
rebonjour 29|Rebonjour! Content de te revoir.
bonsoir 30|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 30|Bonne nuit! Repose-toi bien.
a bientot 30|A bientot! Reviens quand tu veux.
merci 30|Avec plaisir!
de rien 30|Pas de souci!
ca va 30|Oui ca va bien, merci!
tu es la 30|Oui, je suis la pour toi.
hello 30|Hello! Ravi de discuter avec toi.
yo 30|Yo! Comment ca se passe?
rebonjour 30|Rebonjour! Content de te revoir.
bonsoir 31|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 31|Bonne nuit! Repose-toi bien.
a bientot 31|A bientot! Reviens quand tu veux.
merci 31|Avec plaisir!
de rien 31|Pas de souci!
ca va 31|Oui ca va bien, merci!
tu es la 31|Oui, je suis la pour toi.
hello 31|Hello! Ravi de discuter avec toi.
yo 31|Yo! Comment ca se passe?
rebonjour 31|Rebonjour! Content de te revoir.
bonsoir 32|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 32|Bonne nuit! Repose-toi bien.
a bientot 32|A bientot! Reviens quand tu veux.
merci 32|Avec plaisir!
de rien 32|Pas de souci!
ca va 32|Oui ca va bien, merci!
tu es la 32|Oui, je suis la pour toi.
hello 32|Hello! Ravi de discuter avec toi.
yo 32|Yo! Comment ca se passe?
rebonjour 32|Rebonjour! Content de te revoir.
bonsoir 33|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 33|Bonne nuit! Repose-toi bien.
a bientot 33|A bientot! Reviens quand tu veux.
merci 33|Avec plaisir!
de rien 33|Pas de souci!
ca va 33|Oui ca va bien, merci!
tu es la 33|Oui, je suis la pour toi.
hello 33|Hello! Ravi de discuter avec toi.
yo 33|Yo! Comment ca se passe?
rebonjour 33|Rebonjour! Content de te revoir.
bonsoir 34|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 34|Bonne nuit! Repose-toi bien.
a bientot 34|A bientot! Reviens quand tu veux.
merci 34|Avec plaisir!
de rien 34|Pas de souci!
ca va 34|Oui ca va bien, merci!
tu es la 34|Oui, je suis la pour toi.
hello 34|Hello! Ravi de discuter avec toi.
yo 34|Yo! Comment ca se passe?
rebonjour 34|Rebonjour! Content de te revoir.
bonsoir 35|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 35|Bonne nuit! Repose-toi bien.
a bientot 35|A bientot! Reviens quand tu veux.
merci 35|Avec plaisir!
de rien 35|Pas de souci!
ca va 35|Oui ca va bien, merci!
tu es la 35|Oui, je suis la pour toi.
hello 35|Hello! Ravi de discuter avec toi.
yo 35|Yo! Comment ca se passe?
rebonjour 35|Rebonjour! Content de te revoir.
bonsoir 36|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 36|Bonne nuit! Repose-toi bien.
a bientot 36|A bientot! Reviens quand tu veux.
merci 36|Avec plaisir!
de rien 36|Pas de souci!
ca va 36|Oui ca va bien, merci!
tu es la 36|Oui, je suis la pour toi.
hello 36|Hello! Ravi de discuter avec toi.
yo 36|Yo! Comment ca se passe?
rebonjour 36|Rebonjour! Content de te revoir.
bonsoir 37|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 37|Bonne nuit! Repose-toi bien.
a bientot 37|A bientot! Reviens quand tu veux.
merci 37|Avec plaisir!
de rien 37|Pas de souci!
ca va 37|Oui ca va bien, merci!
tu es la 37|Oui, je suis la pour toi.
hello 37|Hello! Ravi de discuter avec toi.
yo 37|Yo! Comment ca se passe?
rebonjour 37|Rebonjour! Content de te revoir.
bonsoir 38|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 38|Bonne nuit! Repose-toi bien.
a bientot 38|A bientot! Reviens quand tu veux.
merci 38|Avec plaisir!
de rien 38|Pas de souci!
ca va 38|Oui ca va bien, merci!
tu es la 38|Oui, je suis la pour toi.
hello 38|Hello! Ravi de discuter avec toi.
yo 38|Yo! Comment ca se passe?
rebonjour 38|Rebonjour! Content de te revoir.
bonsoir 39|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 39|Bonne nuit! Repose-toi bien.
a bientot 39|A bientot! Reviens quand tu veux.
merci 39|Avec plaisir!
de rien 39|Pas de souci!
ca va 39|Oui ca va bien, merci!
tu es la 39|Oui, je suis la pour toi.
hello 39|Hello! Ravi de discuter avec toi.
yo 39|Yo! Comment ca se passe?
rebonjour 39|Rebonjour! Content de te revoir.
bonsoir 40|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 40|Bonne nuit! Repose-toi bien.
a bientot 40|A bientot! Reviens quand tu veux.
merci 40|Avec plaisir!
de rien 40|Pas de souci!
ca va 40|Oui ca va bien, merci!
tu es la 40|Oui, je suis la pour toi.
hello 40|Hello! Ravi de discuter avec toi.
yo 40|Yo! Comment ca se passe?
rebonjour 40|Rebonjour! Content de te revoir.
bonsoir 41|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 41|Bonne nuit! Repose-toi bien.
a bientot 41|A bientot! Reviens quand tu veux.
merci 41|Avec plaisir!
de rien 41|Pas de souci!
ca va 41|Oui ca va bien, merci!
tu es la 41|Oui, je suis la pour toi.
hello 41|Hello! Ravi de discuter avec toi.
yo 41|Yo! Comment ca se passe?
rebonjour 41|Rebonjour! Content de te revoir.
bonsoir 42|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 42|Bonne nuit! Repose-toi bien.
a bientot 42|A bientot! Reviens quand tu veux.
merci 42|Avec plaisir!
de rien 42|Pas de souci!
ca va 42|Oui ca va bien, merci!
tu es la 42|Oui, je suis la pour toi.
hello 42|Hello! Ravi de discuter avec toi.
yo 42|Yo! Comment ca se passe?
rebonjour 42|Rebonjour! Content de te revoir.
bonsoir 43|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 43|Bonne nuit! Repose-toi bien.
a bientot 43|A bientot! Reviens quand tu veux.
merci 43|Avec plaisir!
de rien 43|Pas de souci!
ca va 43|Oui ca va bien, merci!
tu es la 43|Oui, je suis la pour toi.
hello 43|Hello! Ravi de discuter avec toi.
yo 43|Yo! Comment ca se passe?
rebonjour 43|Rebonjour! Content de te revoir.
bonsoir 44|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 44|Bonne nuit! Repose-toi bien.
a bientot 44|A bientot! Reviens quand tu veux.
merci 44|Avec plaisir!
de rien 44|Pas de souci!
ca va 44|Oui ca va bien, merci!
tu es la 44|Oui, je suis la pour toi.
hello 44|Hello! Ravi de discuter avec toi.
yo 44|Yo! Comment ca se passe?
rebonjour 44|Rebonjour! Content de te revoir.
bonsoir 45|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 45|Bonne nuit! Repose-toi bien.
a bientot 45|A bientot! Reviens quand tu veux.
merci 45|Avec plaisir!
de rien 45|Pas de souci!
ca va 45|Oui ca va bien, merci!
tu es la 45|Oui, je suis la pour toi.
hello 45|Hello! Ravi de discuter avec toi.
yo 45|Yo! Comment ca se passe?
rebonjour 45|Rebonjour! Content de te revoir.
bonsoir 46|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 46|Bonne nuit! Repose-toi bien.
a bientot 46|A bientot! Reviens quand tu veux.
merci 46|Avec plaisir!
de rien 46|Pas de souci!
ca va 46|Oui ca va bien, merci!
tu es la 46|Oui, je suis la pour toi.
hello 46|Hello! Ravi de discuter avec toi.
yo 46|Yo! Comment ca se passe?
rebonjour 46|Rebonjour! Content de te revoir.
bonsoir 47|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 47|Bonne nuit! Repose-toi bien.
a bientot 47|A bientot! Reviens quand tu veux.
merci 47|Avec plaisir!
de rien 47|Pas de souci!
ca va 47|Oui ca va bien, merci!
tu es la 47|Oui, je suis la pour toi.
hello 47|Hello! Ravi de discuter avec toi.
yo 47|Yo! Comment ca se passe?
rebonjour 47|Rebonjour! Content de te revoir.
bonsoir 48|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 48|Bonne nuit! Repose-toi bien.
a bientot 48|A bientot! Reviens quand tu veux.
merci 48|Avec plaisir!
de rien 48|Pas de souci!
ca va 48|Oui ca va bien, merci!
tu es la 48|Oui, je suis la pour toi.
hello 48|Hello! Ravi de discuter avec toi.
yo 48|Yo! Comment ca se passe?
rebonjour 48|Rebonjour! Content de te revoir.
bonsoir 49|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 49|Bonne nuit! Repose-toi bien.
a bientot 49|A bientot! Reviens quand tu veux.
merci 49|Avec plaisir!
de rien 49|Pas de souci!
ca va 49|Oui ca va bien, merci!
tu es la 49|Oui, je suis la pour toi.
hello 49|Hello! Ravi de discuter avec toi.
yo 49|Yo! Comment ca se passe?
rebonjour 49|Rebonjour! Content de te revoir.
bonsoir 50|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 50|Bonne nuit! Repose-toi bien.
a bientot 50|A bientot! Reviens quand tu veux.
merci 50|Avec plaisir!
de rien 50|Pas de souci!
ca va 50|Oui ca va bien, merci!
tu es la 50|Oui, je suis la pour toi.
hello 50|Hello! Ravi de discuter avec toi.
yo 50|Yo! Comment ca se passe?
rebonjour 50|Rebonjour! Content de te revoir.
bonsoir 51|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 51|Bonne nuit! Repose-toi bien.
a bientot 51|A bientot! Reviens quand tu veux.
merci 51|Avec plaisir!
de rien 51|Pas de souci!
ca va 51|Oui ca va bien, merci!
tu es la 51|Oui, je suis la pour toi.
hello 51|Hello! Ravi de discuter avec toi.
yo 51|Yo! Comment ca se passe?
rebonjour 51|Rebonjour! Content de te revoir.
bonsoir 52|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 52|Bonne nuit! Repose-toi bien.
a bientot 52|A bientot! Reviens quand tu veux.
merci 52|Avec plaisir!
de rien 52|Pas de souci!
ca va 52|Oui ca va bien, merci!
tu es la 52|Oui, je suis la pour toi.
hello 52|Hello! Ravi de discuter avec toi.
yo 52|Yo! Comment ca se passe?
rebonjour 52|Rebonjour! Content de te revoir.
bonsoir 53|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 53|Bonne nuit! Repose-toi bien.
a bientot 53|A bientot! Reviens quand tu veux.
merci 53|Avec plaisir!
de rien 53|Pas de souci!
ca va 53|Oui ca va bien, merci!
tu es la 53|Oui, je suis la pour toi.
hello 53|Hello! Ravi de discuter avec toi.
yo 53|Yo! Comment ca se passe?
rebonjour 53|Rebonjour! Content de te revoir.
bonsoir 54|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 54|Bonne nuit! Repose-toi bien.
a bientot 54|A bientot! Reviens quand tu veux.
merci 54|Avec plaisir!
de rien 54|Pas de souci!
ca va 54|Oui ca va bien, merci!
tu es la 54|Oui, je suis la pour toi.
hello 54|Hello! Ravi de discuter avec toi.
yo 54|Yo! Comment ca se passe?
rebonjour 54|Rebonjour! Content de te revoir.
bonsoir 55|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 55|Bonne nuit! Repose-toi bien.
a bientot 55|A bientot! Reviens quand tu veux.
merci 55|Avec plaisir!
de rien 55|Pas de souci!
ca va 55|Oui ca va bien, merci!
tu es la 55|Oui, je suis la pour toi.
hello 55|Hello! Ravi de discuter avec toi.
yo 55|Yo! Comment ca se passe?
rebonjour 55|Rebonjour! Content de te revoir.
bonsoir 56|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 56|Bonne nuit! Repose-toi bien.
a bientot 56|A bientot! Reviens quand tu veux.
merci 56|Avec plaisir!
de rien 56|Pas de souci!
ca va 56|Oui ca va bien, merci!
tu es la 56|Oui, je suis la pour toi.
hello 56|Hello! Ravi de discuter avec toi.
yo 56|Yo! Comment ca se passe?
rebonjour 56|Rebonjour! Content de te revoir.
bonsoir 57|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 57|Bonne nuit! Repose-toi bien.
a bientot 57|A bientot! Reviens quand tu veux.
merci 57|Avec plaisir!
de rien 57|Pas de souci!
ca va 57|Oui ca va bien, merci!
tu es la 57|Oui, je suis la pour toi.
hello 57|Hello! Ravi de discuter avec toi.
yo 57|Yo! Comment ca se passe?
rebonjour 57|Rebonjour! Content de te revoir.
bonsoir 58|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 58|Bonne nuit! Repose-toi bien.
a bientot 58|A bientot! Reviens quand tu veux.
merci 58|Avec plaisir!
de rien 58|Pas de souci!
ca va 58|Oui ca va bien, merci!
tu es la 58|Oui, je suis la pour toi.
hello 58|Hello! Ravi de discuter avec toi.
yo 58|Yo! Comment ca se passe?
rebonjour 58|Rebonjour! Content de te revoir.
bonsoir 59|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 59|Bonne nuit! Repose-toi bien.
a bientot 59|A bientot! Reviens quand tu veux.
merci 59|Avec plaisir!
de rien 59|Pas de souci!
ca va 59|Oui ca va bien, merci!
tu es la 59|Oui, je suis la pour toi.
hello 59|Hello! Ravi de discuter avec toi.
yo 59|Yo! Comment ca se passe?
rebonjour 59|Rebonjour! Content de te revoir.
bonsoir 60|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 60|Bonne nuit! Repose-toi bien.
a bientot 60|A bientot! Reviens quand tu veux.
merci 60|Avec plaisir!
de rien 60|Pas de souci!
ca va 60|Oui ca va bien, merci!
tu es la 60|Oui, je suis la pour toi.
hello 60|Hello! Ravi de discuter avec toi.
yo 60|Yo! Comment ca se passe?
rebonjour 60|Rebonjour! Content de te revoir.
bonsoir 61|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 61|Bonne nuit! Repose-toi bien.
a bientot 61|A bientot! Reviens quand tu veux.
merci 61|Avec plaisir!
de rien 61|Pas de souci!
ca va 61|Oui ca va bien, merci!
tu es la 61|Oui, je suis la pour toi.
hello 61|Hello! Ravi de discuter avec toi.
yo 61|Yo! Comment ca se passe?
rebonjour 61|Rebonjour! Content de te revoir.
bonsoir 62|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 62|Bonne nuit! Repose-toi bien.
a bientot 62|A bientot! Reviens quand tu veux.
merci 62|Avec plaisir!
de rien 62|Pas de souci!
ca va 62|Oui ca va bien, merci!
tu es la 62|Oui, je suis la pour toi.
hello 62|Hello! Ravi de discuter avec toi.
yo 62|Yo! Comment ca se passe?
rebonjour 62|Rebonjour! Content de te revoir.
bonsoir 63|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 63|Bonne nuit! Repose-toi bien.
a bientot 63|A bientot! Reviens quand tu veux.
merci 63|Avec plaisir!
de rien 63|Pas de souci!
ca va 63|Oui ca va bien, merci!
tu es la 63|Oui, je suis la pour toi.
hello 63|Hello! Ravi de discuter avec toi.
yo 63|Yo! Comment ca se passe?
rebonjour 63|Rebonjour! Content de te revoir.
bonsoir 64|Bonsoir! J espere que ta journee se passe bien.
bonne nuit 64|Bonne nuit! Repose-toi bien.
a bientot 64|A bientot! Reviens quand tu veux.
merci 64|Avec plaisir!
de rien 64|Pas de souci!
ca va 64|Oui ca va bien, merci!
tu es la 64|Oui, je suis la pour toi.
hello 64|Hello! Ravi de discuter avec toi.
