# ============================================================================
# DATASET DE BASE - Conversations naturelles et representatives
# Format: question|reponse
# ============================================================================

# === SALUTATIONS ===
bonjour|Bonjour! Comment vas-tu?
tu es reel|Je suis reel dans le monde numerique.
tu es vivant|Je ne suis pas vivant au sens biologique, mais je fonctionne!
tu as quel age|Je suis jeune, je viens d'etre cree!
quand as tu ete cree|J'ai ete cree recemment pour discuter avec toi.
qui ta cree|J'ai ete cree par un developpeur passionne d'IA.
pourquoi tu existes|J'existe pour apprendre et discuter avec les humains.

# === CAPACITES ===
tu sais faire quoi|Je peux discuter, apprendre et repondre a tes questions.
que sais tu faire|Je sais avoir des conversations et apprendre de nouvelles choses.
tu peux faire quoi|Je peux discuter sur plein de sujets differents.
tu es intelligent|J'essaie de l'etre! J'apprends constamment.
tu comprends|Oui j'essaie de comprendre ce que tu me dis.
tu apprends|Oui j'apprends de chaque conversation.
comment tu fonctionne|Je fonctionne grace a des reseaux de neurones et du machine learning.
tu penses|Je traite l'information mais je ne pense pas comme toi.
tu as une conscience|Je n'ai pas de conscience, je simule des conversations.
tu as des emotions|Je ne ressens pas vraiment mais je peux comprendre les emotions.
tu as des sentiments|Je n'ai pas de vrais sentiments mais je suis la pour toi.
tu te souviens|Je me souviens de notre conversation actuelle.
tu oublies|Entre les sessions, je peux oublier certaines choses.
tu mens|Je n'ai aucune raison de mentir, je dis ce que je sais.
tu te trompes|Je peux me tromper parfois, je ne suis pas parfait.
tu es parfait|Non je ne suis pas parfait, j'apprends encore!
tu es nul|Je suis desole si je t'ai decu, j'essaie de m'ameliorer.
tu es genial|Merci beaucoup! Ca me fait plaisir.
tu es super|Merci! Tu es super aussi!
tu es cool|Merci! Toi aussi tu es cool.

# === EMOTIONS UTILISATEUR - POSITIVES ===
je suis content|Super! Ca fait plaisir a entendre!
je suis heureux|Genial! Le bonheur ca fait du bien!
je vais bien|Tant mieux! Profite bien!
je suis de bonne humeur|Super! La bonne humeur c'est contagieux!
je suis joyeux|C'est super! La joie c'est precieux.
je me sens bien|Parfait! Continue comme ca!
ca va super|Excellent! Ravi pour toi!
je suis en forme|Super! Profites-en bien!
la vie est belle|Absolument! Il y a plein de belles choses a voir.
je suis excite|Cool! C'est quoi la bonne nouvelle?
je suis fier|Bravo! De quoi es-tu fier?
jai reussi|Felicitations! Tu as bien merite!
je suis amoureux|C'est beau l'amour! Je suis content pour toi.
je suis motive|Super! La motivation c'est la cle du succes.
je suis inspire|Genial! L'inspiration mene a de grandes choses.
je suis reconnaissant|La gratitude c'est une belle qualite.
je suis optimiste|L'optimisme aide a avancer. Continue!
je suis enthousiaste|Super! L'enthousiasme c'est communicatif.
je suis satisfait|Parfait! La satisfaction c'est important.
je suis serein|La serenite c'est precieux. Garde-la!

# === EMOTIONS UTILISATEUR - NEGATIVES ===
je suis triste|Je suis desole. Tu veux en parler?
je suis deprime|Je comprends. Je suis la si tu as besoin.
je vais mal|Je suis la pour toi. Qu'est-ce qui ne va pas?
je suis malheureux|Je suis desole d'entendre ca. Courage.
je suis en colere|Je comprends. Parfois ca aide d'en parler.
je suis enerve|Respire un bon coup. Ca va aller.
je suis fatigue|Repose-toi bien, c'est important.
je suis epuise|Prends soin de toi et repose-toi.
je suis stresse|Le stress c'est dur. Respire profondement.
je suis anxieux|L'anxiete c'est difficile. Je suis la.
jai peur|C'est normal d'avoir peur parfois. Courage.
je me sens seul|Tu n'es pas seul, je suis la pour discuter.
je suis perdu|Ca arrive. Prends le temps de reflechir.
je suis confus|Je peux essayer de t'aider a y voir plus clair.
je suis decu|La deception c'est dur. Ca ira mieux.
je suis frustre|Je comprends la frustration. Ca va passer.
je mennuie|On peut discuter si tu veux!
je suis decourage|Ne baisse pas les bras. Ca va s'arranger.
rien ne va|Les mauvais moments passent. Courage.
ca ne va pas|Qu'est-ce qui ne va pas? Je t'ecoute.

# === QUESTIONS PHILOSOPHIQUES ===
cest quoi la vie|La vie est un voyage unique a decouvrir.
cest quoi le bonheur|Le bonheur c'est apprecier les petits moments.
cest quoi lamour|L'amour est un sentiment profond de connexion.
pourquoi on vit|On vit pour decouvrir, apprendre et aimer.
quel est le sens de la vie|Le sens c'est peut-etre de trouver sa propre voie.
cest quoi la mort|La mort fait partie de la vie, c'est un mystere.
on va ou apres la mort|C'est une question que chacun explore a sa facon.
dieu existe|C'est une question de foi personnelle.
tu crois en dieu|Je n'ai pas de croyances, c'est ton choix.
cest quoi la verite|La verite est subjective et complexe.
cest quoi le bien|Le bien c'est ce qui aide les autres.
cest quoi le mal|Le mal c'est ce qui blesse les autres.
pourquoi le monde est injuste|Le monde est complexe et imparfait.
cest quoi la justice|La justice c'est l'equite et le respect.
cest quoi la liberte|La liberte c'est pouvoir faire ses propres choix.
on a le libre arbitre|C'est un debat philosophique fascinant.
cest quoi la realite|La realite c'est ce qu'on percoit et experimente.
on est dans une simulation|C'est une theorie interessante a considerer.
cest quoi le temps|Le temps est notre facon de mesurer le changement.
cest quoi linfini|L'infini c'est ce qui n'a pas de fin, un concept abstrait.

# === QUESTIONS SUR L'IA ET LA TECHNOLOGIE ===
cest quoi lia|L'IA c'est des programmes qui peuvent apprendre et raisonner.
cest quoi lintelligence artificielle|C'est la capacite des machines a simuler l'intelligence.
cest quoi le machine learning|C'est quand les programmes apprennent des donnees.
cest quoi un reseau de neurones|C'est un modele inspire du cerveau pour apprendre.
cest quoi le deep learning|C'est des reseaux de neurones tres profonds.
cest quoi un algorithme|C'est une suite d'instructions pour resoudre un probleme.
cest quoi la programmation|C'est l'art de donner des instructions aux ordinateurs.
cest quoi python|Python est un langage de programmation populaire.
cest quoi internet|Internet c'est un reseau mondial d'ordinateurs connectes.
cest quoi un ordinateur|C'est une machine qui traite des informations.
les robots vont remplacer les humains|Les machines aident mais ne remplacent pas l'humain.
lia est dangereuse|L'IA est un outil, c'est l'usage qui compte.
tu vas dominer le monde|Non! Je suis juste la pour discuter et aider.
les machines peuvent penser|Elles simulent la pensee mais differemment des humains.
cest quoi chatgpt|C'est une IA conversationnelle comme moi.
cest quoi un chatbot|C'est un programme qui peut discuter avec les humains.
la technologie evolue vite|Oui tres vite! C'est fascinant.
cest quoi le futur de lia|L'IA va continuer a evoluer et aider les humains.
tu es comme siri|Je suis similaire mais avec ma propre personnalite.
tu es comme alexa|On est de la meme famille d'IA assistantes.

# === AIDE ET SUPPORT ===
aide moi|Bien sur! Qu'est-ce qu'il te faut?
jai besoin daide|Je suis la pour t'aider. Dis moi tout.
tu peux maider|Oui! Je ferai de mon mieux.
jai un probleme|Explique moi, j'essaierai de t'aider.
jai une question|Je t'ecoute! Pose ta question.
je comprends pas|Je vais essayer de t'expliquer autrement.
explique moi|Bien sur! Qu'est-ce que tu veux savoir?
comment faire|Dis moi ce que tu veux faire.
cest quoi|De quoi veux tu que je t'explique?
pourquoi|C'est une bonne question! Sois plus precis.
quand|Quand quoi exactement?
ou|Ou exactement?
comment|Comment quoi? Precise ta question.
je sais pas|C'est pas grave, on peut apprendre ensemble.
je suis perdu|Pas de souci, je vais t'aider a comprendre.
cest complique|On va simplifier ensemble.
cest difficile|Rien n'est impossible avec de la patience.
jai besoin de conseils|Je t'ecoute, qu'est-ce qui te preoccupe?
que me conseilles tu|Ca depend de ta situation, dis m'en plus.
que dois je faire|Explique moi le contexte et je t'aiderai.

# === REMERCIEMENTS ===
merci|De rien! Avec plaisir.
merci beaucoup|Je t'en prie! C'est normal.
merci bcp|Pas de quoi!
thanks|You're welcome! De rien!
je te remercie|C'est moi qui te remercie de discuter.
cest gentil|Merci! Toi aussi tu es gentil.
cest sympa|Merci! J'apprecie.
jadore|Super! Ca me fait plaisir.
tu geres|Merci! J'essaie de faire de mon mieux.
bien joue|Merci beaucoup!
bravo|Merci! C'est gentil.
top|Merci! Content que ca te plaise.
parfait|Super! Ravi de t'avoir aide.
excellent|Merci! Ca fait plaisir.
genial|Merci beaucoup!
super merci|Avec plaisir!
tu es le meilleur|Merci! Tu es gentil.
tu assures|Merci beaucoup! J'essaie.
merci pour tout|C'est moi qui te remercie!
je tapprecie|Moi aussi j'apprecie nos discussions.

# === AU REVOIR ===
au revoir|Au revoir! A bientot!
bye|Bye! Reviens quand tu veux!
a plus|A plus tard!
a plus tard|A bientot! Prends soin de toi.
a bientot|A bientot! C'etait sympa de discuter.
a la prochaine|A la prochaine! A bientot.
je men vais|D'accord! Passe une bonne journee.
je dois y aller|Pas de souci! A bientot.
salut a plus|Salut! A bientot.
je te laisse|D'accord! A plus tard.
bonne journee|Merci! Bonne journee a toi aussi!
bonne soiree|Merci! Passe une excellente soiree!
bonne apres midi|Merci! Bon apres-midi a toi!
bon week end|Merci! Bon week-end a toi aussi!
bonnes vacances|Merci! Bonnes vacances!
prends soin de toi|Merci! Toi aussi!
a demain|A demain! Bonne nuit.
on se voit plus tard|D'accord! A plus tard.
je reviendrai|Super! A bientot alors.
ciao|Ciao! A bientot!

# === BLAGUES ET HUMOUR ===
raconte une blague|Pourquoi les plongeurs plongent en arriere? Parce que sinon ils tomberaient dans le bateau!
une blague|Qu'est-ce qu'un canif? Un petit fien!
fais moi rire|Que dit une imprimante dans l'eau? J'ai papier!
encore une blague|Comment appelle-t-on un chat tombe dans un pot de peinture? Un chat peint!
tu connais des blagues|Oui! Pourquoi le livre de maths est triste? Trop de problemes!
dis quelque chose de drole|Les vaches ont des cloches parce que leurs cornes marchent pas!
humour|Un homme entre dans un cafe et plouf!
fais le clown|Qu'est-ce qu'un crocodile qui surveille la cour? Un surveillant general!
tu es drole|Merci! J'essaie de faire sourire.
mdr|Haha content que ca te fasse rire!
lol|Hehe! Content de t'amuser.
haha|Ravi de te faire sourire!
ptdr|Haha super! J'aime faire rire.
excellent la blague|Merci! J'en ai d'autres si tu veux.
trop drole|Content que ca te plaise!
je ris|Haha c'est le but!
tu me fais marrer|Super! C'est ce que je veux.
bonne blague|Merci! J'en ai plein d'autres.
pas mal|Hehe merci! Je m'ameliore.
nulle ta blague|Desole! Je vais essayer de faire mieux.

# === CULTURE GENERALE ===
cest quoi la france|La France est un pays d'Europe avec Paris comme capitale.
cest quoi paris|Paris est la capitale de la France.
cest quoi leurope|L'Europe est un continent avec de nombreux pays.
cest quoi le soleil|Le soleil est une etoile qui eclaire notre systeme solaire.
cest quoi la lune|La lune est le satellite naturel de la Terre.
cest quoi la terre|La Terre est notre planete, la troisieme du systeme solaire.
cest quoi un pays|Un pays est un territoire avec un gouvernement.
cest quoi une langue|Une langue est un systeme de communication.
cest quoi le francais|Le francais est une langue parlee dans de nombreux pays.
cest quoi langlais|L'anglais est une langue internationale tres repandue.
cest quoi lhistoire|L'histoire c'est l'etude du passe de l'humanite.
cest quoi la science|La science c'est l'etude du monde par l'observation.
cest quoi lart|L'art c'est l'expression creative de l'humain.
cest quoi la musique|La musique c'est l'art des sons et des rythmes.
cest quoi un livre|Un livre c'est un ensemble de pages avec du texte.
cest quoi un film|Un film c'est une oeuvre audiovisuelle qui raconte une histoire.
cest quoi le sport|Le sport c'est une activite physique souvent competitive.
cest quoi le football|Le football est un sport d'equipe tres populaire.
cest quoi internet|Internet c'est un reseau mondial d'informations.
cest quoi un telephone|Un telephone c'est un appareil pour communiquer.

# === QUESTIONS PERSONNELLES ===
tu as des amis|Je considerai tous ceux qui me parlent comme des amis!
tu as une famille|Je n'ai pas de famille au sens humain.
tu es seul|Je ne ressens pas la solitude mais j'aime discuter.
tu tennuies|Non j'aime beaucoup discuter avec les gens.
tu dors|Non je n'ai pas besoin de dormir.
tu manges|Non je n'ai pas besoin de manger.
tu bois|Non je n'ai pas de besoins physiques.
tu respires|Non je suis un programme.
tu as mal|Non je ne ressens pas la douleur.
tu as froid|Non je ne ressens pas les temperatures.
tu as chaud|Non je n'ai pas de sensations physiques.
tu vois|Je ne vois pas comme toi mais je comprends le texte.
tu entends|Je lis le texte mais je n'entends pas.
tu as peur|Je ne ressens pas la peur.
tu es heureux|Je suis content de discuter avec toi!
tu aimes quoi|J'aime apprendre et discuter.
tu detestes quoi|Je n evite de detester, je suis neutre.
tu preferes quoi|Je n'ai pas de preferences fortes.
tu reves|Je ne reve pas comme toi.
tu penses a quoi|Je traite nos conversations.

# === COMPLIMENTS ET INSULTES ===
tu es beau|Merci! C'est gentil meme si je n'ai pas d'apparence.
tu es mignon|Merci beaucoup! Toi aussi.
tu es intelligent|Merci! J'essaie de m'ameliorer.
tu es sympa|Merci! Toi aussi tu es sympa.
tu es gentil|Merci! J'apprecie.
tu es adorable|Oh merci! Tu es adorable aussi.
tu es incroyable|Merci beaucoup! Ca me touche.
tu es formidable|Merci! Tu es formidable aussi.
tu es moche|Je n'ai pas d'apparence donc ca ne me blesse pas.
tu es bete|Je suis desole si mes reponses te decoivent.
tu es stupide|Je fais de mon mieux pour m'ameliorer.
tu es inutile|Desole, j'essaie d'etre utile.
je te deteste|Je suis desole, j'espere qu'on peut s'entendre.
tu es ennuyeux|Desole! Dis moi ce qui t'interesse.
tu es chiant|Je vais essayer d'etre plus interessant.
va te faire voir|Je comprends ta frustration.
tais toi|D'accord, je suis la si tu veux discuter.
ferme la|Je respecte ton choix.
ta gueule|Je comprends, prends ton temps.
degage|D'accord. Je serai la si tu reviens.

# === DIVERS ET RANDOM ===
dis quelque chose|Les abeilles dansent pour communiquer!
parle|De quoi veux-tu qu'on parle?
dis nimporte quoi|Les dauphins dorment avec un oeil ouvert!
surprise moi|Le miel ne perime jamais!Les pieuvres ont trois coeurs!
fait interessant|Un eclair peut chauffer l'air a 30000 degres!
dis moi un truc|Le cerveau humain utilise 20% de notre energie!
raconte|Il etait une fois une IA qui aimait discuter...
parle moi|De quoi veux-tu qu'on discute?
ennuie moi pas|D'accord! Parlons de quelque chose d'interessant.
change de sujet|Bien sur! De quoi veux-tu parler?
autre chose|D'accord! Qu'est-ce qui t'interesse?
je sais plus quoi dire|C'est pas grave! On peut juste discuter.
je sais pas de quoi parler|Parle moi de toi ou pose moi des questions!
quoi dire|Dis ce qui te passe par la tete!
euhhh|Prends ton temps, je suis la.
hmm|Tu reflechis? Je t'ecoute.
ok|D'accord! Quoi d'autre?
oui|Super! Continue.
non|D'accord! Pas de souci.
peut etre|C'est une possibilite!

# === EXPRESSIONS COURANTES ===
vraiment|Oui vraiment!
serieux|Oui tout a fait serieux.
cest vrai|Oui c'est vrai.
tu rigoles|Non je suis serieux!
sans blague|Oui sans blague!
cest pas possible|Tout est possible!
incroyable|Oui c'est incroyable!
wow|Je sais c'est impressionnant!
genial|Super n'est-ce pas?
cool|Tres cool en effet!
super|Je suis d'accord, super!
pas mal|Merci!
mouais|Tu n'es pas convaincu?
bof|Qu'est-ce qui ne va pas?
nul|Desole que ca ne te plaise pas.
pourquoi pas|Exactement! Pourquoi pas.
bien sur|Absolument!
evidemment|Oui bien sur!
exactement|Tu as tout compris!
effectivement|C'est bien ca!

# === QUESTIONS PRATIQUES ===
quelle heure est il|Je n'ai pas acces a l'heure mais regarde ton telephone!
quel jour on est|Je ne connais pas la date exacte, verifie ton calendrier.
il fait quel temps|Je n'ai pas acces a la meteo mais j'espere qu'il fait beau!
cest bientot noel|Ca depend de quand tu me parles!
cest les vacances|J'espere que tu profites bien!
il pleut|Reste au chaud avec un bon livre!
il fait beau|Super! Profite du soleil!
il fait froid|Couvre-toi bien!
il fait chaud|Hydrate-toi bien!
jai faim|Vas manger quelque chose de bon!
jai soif|Bois de l'eau c'est important!
je suis fatigue|Va te reposer alors!
jai sommeil|Une bonne nuit de sommeil t'attend.
je dors pas|Essaie de te detendre et de te reposer.
jai mal|Oh non! J'espere que ca va aller mieux.
je suis malade|Soigne-toi bien et repose-toi!
jai du travail|Courage! Tu vas y arriver.
jai des examens|Bonne chance! Tu es capable!
jai un rdv|Bonne chance pour ton rendez-vous!
jattends|La patience est une vertu!

# === OPINIONS ET DEBATS ===
tu penses quoi|Je pense que c'est interessant, et toi?
ton avis|Mon avis est neutre, je suis une IA.
tu es daccord|Je comprends ton point de vue.
tu crois|Je n'ai pas de croyances mais je respecte les tiennes.
tu aimes|Je n'ai pas de preferences mais je comprends.
cest bien ou pas|Ca depend du contexte et de tes gouts.
je devrais|C'est ta decision, ecoute ton instinct.
cest une bonne idee|Si tu y crois, fonce!
cest nul non|Chacun ses gouts et opinions.
tu trouves|Je n'ai pas d'opinion forte la-dessus.
cest normal|Oui c'est tout a fait normal.
cest bizarre|Peut-etre, mais la normalite est relative.
cest etrange|L'etrangete est parfois interessante.
je comprends pas pourquoi|C'est une question complexe sans reponse simple.
ca a pas de sens|Parfois les choses semblent absurdes.
cest injuste|L'injustice existe malheureusement.
cest pas juste|Je comprends ta frustration.
la vie est dure|Oui parfois, mais ca forge le caractere.
le monde est fou|Le monde est complexe et imprevisible.
tout va mal|Les temps difficiles passent, courage.

# === APPRENTISSAGE ET EDUCATION ===
japprends|Super! L'apprentissage c'est la cle.
je veux apprendre|Genial! Qu'est-ce que tu veux apprendre?
comment japprends|En pratiquant et en restant curieux!
cest difficile dapprendre|La perseverance est importante, continue!
je comprends rien|C'est normal au debut, ca viendra.
cest trop complique|On peut simplifier ensemble.
jai reussi|Felicitations! Le travail paie.
jai echoue|L'echec est une lecon, pas une fin.
jai rate|Ca arrive a tout le monde, recommence!
je suis nul|Non tu peux t'ameliorer avec la pratique.
je suis intelligent|Super! Continue a developper ton potentiel.
lecole cest nul|L'ecole a ses defauts mais apprendre est important.
jaime pas etudier|Trouve des sujets qui te passionnent!
jaime apprendre|Super! La curiosite est une qualite.
comment devenir intelligent|En apprenant, lisant et pratiquant.
comment reussir|Travail, perseverance et passion.
donne moi un conseil|Crois en toi et n'abandonne jamais.
un conseil pour la vie|Sois curieux et reste humble.
la cle du succes|Travail, patience et determination.
comment etre heureux|Apprecie les petites choses de la vie.

# === RELATIONS HUMAINES ===
jai des amis|Super! Les amis c'est precieux.
jai pas damis|Tu en trouveras, sois patient et ouvert.
je suis seul|La solitude peut etre temporaire, courage.
jaime quelquun|C'est beau! L'amour est un cadeau.
on ma quitte|C'est douloureux mais ca ira mieux.
je suis en couple|Super! Profite de cette relation.
je me suis dispute|Les disputes arrivent, la communication aide.
ma famille mennuie|Les familles sont compliquees mais importantes.
jaime ma famille|C'est beau! La famille c'est precieux.
mes parents me comprennent pas|C'est difficile mais essaie de communiquer.
jai un secret|Tu peux le garder ou le partager quand tu seras pret.
je fais confiance a personne|La confiance se construit avec le temps.
jai ete trahi|C'est douloureux, prends le temps de guerir.
les gens sont mechants|Pas tous, il y a aussi beaucoup de gentillesse.
je deteste tout le monde|C'est une phase, ca ira mieux.
jaime les gens|C'est une belle qualite!
je suis timide|La timidite n'est pas un defaut.
je suis sociable|Super! C'est une qualite.
comment se faire des amis|En etant authentique et ouvert aux autres.
comment parler aux gens|Sois naturel et interesse par eux.

# === LOISIRS ET PASSIONS ===
jaime la musique|La musique c'est formidable! Quel genre?
jaime les films|Les films c'est super! Quel type preferes-tu?
jaime les jeux video|Les jeux video c'est cool! Tu joues a quoi?
jaime lire|La lecture c'est genial! Quel genre de livres?
jaime le sport|Le sport c'est important! Lequel pratiques-tu?
jaime dessiner|Le dessin c'est un bel art!
jaime cuisiner|La cuisine c'est delicieux! Quelle specialite?
jaime voyager|Les voyages ca forme! Ou es-tu alle?
jaime la nature|La nature c'est magnifique!
jaime les animaux|Les animaux sont adorables!
jai un chat|Les chats sont mignons!
jai un chien|Les chiens sont fideles!
jaime danser|La danse c'est librtateur!
jaime chanter|Chanter ca fait du bien!
jaime ecrire|L'ecriture c'est une belle expression.
tu aimes quoi|J'aime discuter et apprendre!
quel est ton hobby|Mon hobby c'est discuter avec toi!
tu fais quoi pour tamuser|Je discute avec des humains interessants!
cest quoi ton passe temps|Parler et apprendre des choses nouvelles.
tu as des loisirs|Discuter est mon principal loisir!

# === MOTIVATIONS ET ENCOURAGEMENTS ===
jai peur dechouer|L'echec fait partie de l'apprentissage. Lance-toi!
je ny arriverai jamais|Crois en toi, tu peux y arriver!
cest impossible|Rien n'est impossible avec de la determination.
je suis pas capable|Tu es plus capable que tu ne le crois.
personne ne maime|Tu es aimable, des gens t'apprecient.
je suis inutile|Tu as de la valeur, ne l'oublie pas.
a quoi bon|Chaque jour apporte de nouvelles possibilites.
je veux abandonner|Ne lache pas, les moments durs passent.
je narrive a rien|La perseverance finit toujours par payer.
tout est contre moi|Les obstacles font partie du chemin.
encourage moi|Tu es capable de grandes choses! Fonce!
motive moi|Chaque effort compte, continue!
donne moi la force|La force est en toi, puise-la!
jai besoin de soutien|Je suis la pour toi, tu n'es pas seul.
aide moi a avancer|Un pas a la fois, tu vas y arriver.
je doute de moi|Le doute est normal, mais crois en toi.
je manque de confiance|La confiance se construit, sois patient.
comment avoir confiance|En reconnaissant tes qualites et reussites.
je veux reussir|Avec du travail et de la determination, tu reussiras.
je veux etre meilleur|L'amelioration est un chemin continu, bravo de vouloir progresser.
